diomedeae insulae
insulae diomedeae
dionysopolis indiae
indiae dionysopolis
dionysopolis moesiae
moesiae dionysopolis
dioscoridis insula
insula dioscoridis
dios hieron
hieron dios
diospolis magna
magna diospolis
diospolis parva
parva diospolis
doeanteius campus
campus doeanteius
dora flumen
flumen dora
dorgamenes flumen
flumen dorgamenes
dotius campus
campus dotius
draco mons
mons draco
dromos achillis
achillis dromos
durvus mons
mons durvus
ebal mons
mons ebal
elaphites ins
ins elaphites
emodi montes
montes emodi
emporicus sinus
sinus emporicus
epicnemidii locri
locri epicnemidii
epictetus phrygia
phrygia epictetus
epidaurus limera
limera epidaurus
epomeus mons
mons epomeus
equus tuticus
tuticus equus
erytheia insula
insula erytheia
erythraeum mare
mare erythraeum
esdraelon vallis
vallis esdraelon
eupilis lacus
lacus eupilis
euxinus pontus
pontus euxinus
ezion geber
geber ezion
falernus ager
ager falernus
fanum fortunae
fortunae fanum
fanum fugitivi
fugitivi fanum
fanum martis
martis fanum
fanum minervae
minervae fanum
fanum vacunae
vacunae fanum
fanum veneris
veneris fanum
fanum voltumnae
voltumnae fanum
fecyi jugum
jugum fecyi
ferentinae lucus
lucus ferentinae
ferraria prom
prom ferraria
finis bithyniae
bithyniae finis
fiscellus mons
mons fiscellus
flanaticus sinus
sinus flanaticus
flavia caesariensis
caesariensis flavia
flavium solvense
solvense flavium
flevo lacus
lacus flevo
flumen bibalorum
bibalorum flumen
flumen oblivionis
oblivionis flumen
flumen salsum
salsum flumen
fons tungrorum
tungrorum fons
fontes amari
amari fontes
fortunatae insulae
insulae fortunatae
forum allieni
allieni forum
forum appii
appii forum
forum aurelii
aurelii forum
forum bibalorum
bibalorum forum
forum cassii
cassii forum
forum cigurrorum
cigurrorum forum
forum claudii
claudii forum
forum claudii vallensium octodurensium
octodurensium forum claudii vallensium
forum clodii
clodii forum
forum cornelii
cornelii forum
forum decii
decii forum
forum diuguntorum
diuguntorum forum
forum domitii
domitii forum
forum flaminii
flaminii forum
forum fulvii
fulvii forum
forum gallorum
gallorum forum
forum hadriani
hadriani forum
forum julii
julii forum
forum julium
julium forum
forum lepidi
lepidi forum
forum licinii
licinii forum
forum ligneum
ligneum forum
forum limicorum
limicorum forum
forum livii
livii forum
forum neronis
neronis forum
forum novum
novum forum
forum narbasorum
narbasorum forum
forum popilii
popilii forum
forum segusianorum
segusianorum forum
forum sempronii
sempronii forum
forum tiberii
tiberii forum
forum trajani
trajani forum
forum truentinorum
truentinorum forum
forum vibii
vibii forum
forum voconii
voconii forum
forum vulcani
vulcani forum
fossa corbulonis
corbulonis fossa
fossa drusiana
drusiana fossa
fossa mariana
mariana fossa
fretum gaditanum
gaditanum fretum
fretum gallicum
gallicum fretum
frigidus fluvius
fluvius frigidus
fucinus lacus
lacus fucinus
furcae caudinae
caudinae furcae
gaditanus oceanus
oceanus gaditanus
gagana gaganae
gaganae gagana
gallia cisalpina
cisalpina gallia
gallia transalpina
transalpina gallia
gallica flavia
flavia gallica
gallicus sinus
sinus gallicus
gallinaria insula
insula gallinaria
gallinaria silva
silva gallinaria
gangeticus sinus
sinus gangeticus
garaphi montes
montes garaphi
garbata mons
mons garbata
gargaphia fons
fons gargaphia
gargarius locus
locus gargarius
gaura mons
mons gaura
gaurus mons
mons gaurus
germania inferior
inferior germania
germania superior
superior germania
germanicum mare
mare germanicum
gerontis arx
arx gerontis
gerrehaicus sinus
sinus gerrehaicus
gigonis prom
prom gigonis
gilboa mons
mons gilboa
glessaria insula
insula glessaria
glycys limen
limen glycys
golgotha mons
mons golgotha
graecia magna
magna graecia
grampius mons
mons grampius
gratiarum collis
collis gratiarum
gurgures montes
montes gurgures
gygaeus lacus
lacus gygaeus
hadriaticum mare
mare hadriaticum
halae araphenides
araphenides halae
halae axonides
axonides halae
harmozon prom
prom harmozon
hecatompylos africae
africae hecatompylos
heliopolis aegypti
aegypti heliopolis
heliopolis syriae
syriae heliopolis
hephaestiae insulae
insulae hephaestiae
heracleia lyncestis
lyncestis heracleia
heracleia sintica
sintica heracleia
heracleia trachinia
trachinia heracleia
heracleia perinthus
perinthus heracleia
heracleia parthiae
parthiae heracleia
heracleopolis magna
magna heracleopolis
heracleopolis parva
parva heracleopolis
heraei montes
montes heraei
herculeum fretum
fretum herculeum
herculis arenae
arenae herculis
herculis columnae
columnae herculis
herculis insula
insula herculis
herculis liburni portus
portus herculis liburni
herculis monoeci portus
portus herculis monoeci
herculis portus
portus herculis
herculis promontorium
promontorium herculis
herculis silva
silva herculis
herculis templum
templum herculis
hercynia silva
silva hercynia
hermaeum prom
prom hermaeum
herminius mons
mons herminius
hermionicus sinus
sinus hermionicus
hermonactis vicus
vicus hermonactis
hermopolis magna
magna hermopolis
hermopolis parva
parva hermopolis
heroopolites sinus
sinus heroopolites
hesperidum horti
horti hesperidum
hesperidum lacus
lacus hesperidum
hesperium promontorium
promontorium hesperium
hiera sycaminus
sycaminus hiera
hieron acron
acron hieron
hippi prom
prom hippi
hippici montes
montes hippici
hippocrene fons
fons hippocrene
hippo diarrhytus
diarrhytus hippo
hippo regius
regius hippo
hipponensis sinus
sinus hipponensis
hipponiates sinus
sinus hipponiates
hipponitis palus
palus hipponitis
hispanum mare
mare hispanum
horrea coelia
coelia horrea
horreum margi
margi horreum
hylica lacus
lacus hylica
hypatus mons
mons hypatus
hyperborei montes
montes hyperborei
hyperboreus oceanus
oceanus hyperboreus
hyrcanium mare
mare hyrcanium
iapygium promontorium
promontorium iapygium
iberia indiae
indiae iberia
ibericum mare
mare ibericum
icarium mare
mare icarium
iccius portus
portus iccius
ichthyophagorum sinus
sinus ichthyophagorum
idistavisus campus
campus idistavisus
ilipula mons
mons ilipula
imeus mons
mons imeus
immundus sinus
sinus immundus
imus pyrenaeus
pyrenaeus imus
indicus oceanus
oceanus indicus
inferum mare
mare inferum
insani montes
montes insani
internum mare
mare internum
ion mons
mons ion
ionium mare
mare ionium
jovis mons
mons jovis
jovis pagus
pagus jovis
jovis promontorium
promontorium jovis
iria flavia
flavia iria
irinus sinus
sinus irinus
isiacorum portus
portus isiacorum
isidis oppidum
oppidum isidis
isius mons
mons isius
issicus sinus
sinus issicus
istrianorum portus
portus istrianorum
ithacesiae insulae
insulae ithacesiae
itium promontorium
promontorium itium
itius portus
portus itius
julia constantia
constantia julia
julia fidentia
fidentia julia
julia joza
joza julia
julia libyca
libyca julia
julia myrtilis
myrtilis julia
julia romula
romula julia
julia transducta
transducta julia
julia victrix
victrix julia
juliopolis aegypti
aegypti juliopolis
julium carnicum
carnicum julium
junonia insula
insula junonia
justiniana prima
prima justiniana
labeatis lacus
lacus labeatis
labronis portus
portus labronis
laconicus sinus
sinus laconicus
lactarius mons
mons lactarius
lacus felicis
felicis lacus
lamiacus sinus
sinus lamiacus
lancia oppidana
oppidana lancia
lancienses ocelenses
ocelenses lancienses
laodiceia combusta
combusta laodiceia
lapidei campi
campi lapidei
lar fluvius
fluvius lar
larius lacus
lacus larius
latmicus sinus
sinus latmicus
laturus sinus
sinus laturus
lauretanus portus
portus lauretanus
laus pompeia
pompeia laus
lausonius lacus
lacus lausonius
leanites sinus
sinus leanites
legio vii
vii legio
lelamnonius sinus
sinus lelamnonius
lelantus campus
campus lelantus
lemanis portus
portus lemanis
leo fluvius
fluvius leo
lepinus mons
mons lepinus
leptis magna
magna leptis
lesora mons
mons lesora
levae fanum
fanum levae
leucatas prom
prom leucatas
leuce acte
acte leuce
leuci montes
montes leuci
leucothees fanum
fanum leucothees
libanus mons
mons libanus
liburnus mons
mons liburnus
liby palus
palus liby
libyci montes
montes libyci
libycum mare
mare libycum
libycus nomos
nomos libycus
ligures baebiani et corneliani
corneliani ligures baebiani et
ligusticum mare
mare ligusticum
limites romani
romani limites
litana silva
silva litana
longum promontorium
promontorium longum
lucinae oppidum
oppidum lucinae
lucretilis mons
mons lucretilis
lucrinus lacus
lacus lucrinus
lucus augusti
augusti lucus
lucus feroniae
feroniae lucus
lucus hecates
hecates lucus
lucus maricae
maricae lucus
lugdunum batavorum
batavorum lugdunum
lugeus lacus
lacus lugeus
lunae montes
montes lunae
lunae portus
portus lunae
lunae promontorium
promontorium lunae
lunarium promontorium
promontorium lunarium
